Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Adjustment Count P2
709,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-3.26,3.58,1.1,3.06,0.89,0,974,250,796,114,4
710,0,0,0,22,1,0,True,False,9,10,0,0,-7.53,8.07,0.39,2.36,0.93,0.34,1004,310,802,116,6
711,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-4.94,5.27,0.35,3.28,1.48,0.15,377,460,494,676,4
712,0,1,0,22,0.5,0.5,False,True,9,10,0,0,2.68,-2.8,0.09,3.02,1.3,0.8,530,148,451,216,6
713,0,1,0,22,0.91,0.09,False,True,3,4,0,3,-5.47,5.77,0.4,2.89,1.53,0.81,794,736,975,597,8
714,0,1,0,22,0.86,0.09,False,True,3,4,0,0,-6.48,6.9,0.28,3.15,1.44,1.11,458,642,693,750,6
715,0,1,0,22,0.64,0.36,False,True,9,10,0,0,-1.46,1.49,0.74,3.8,1,0.38,407,285,376,450,7
716,0,1,0,22,0.55,0.45,False,True,3,10,0,3,3.28,-3.3,0.17,3.89,1.16,0.24,396,541,474,658,4
717,0,1,0,22,0.73,0.27,False,True,3,4,0,4,-2.15,2.31,0.41,4.28,1.31,0.36,888,690,1005,536,3
718,0,1,0,22,0.59,0.41,False,True,9,10,0,0,-0.3,0.37,0.74,2.69,1.29,0.81,715,100,560,132,7
719,0,1,0,22,0.77,0.23,False,True,9,10,0,9,-2.36,2.18,0.31,7.03,1.1,0.46,565,130,469,196,3
720,0,0,0,22,1,0,True,False,3,2,0,13,-11.62,11.85,0.25,7.38,1.35,0.15,432,609,526,699,2
721,0,0,0,22,1,0,True,False,9,10,0,6,-4.16,4.09,0.42,5.12,1.13,0.73,1022,383,982,263,12
722,0,1,0,22,0.77,0.23,False,True,9,11,0,6,-5.48,5.77,0.09,4.93,0.52,0.15,897,166,635,106,3
723,0,1,0,22,0.45,0.55,False,True,3,11,0,1,3.7,-3.64,0.3,2.35,0.52,0,394,534,499,681,2
