Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Adjustment Count P2
938,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.54,-6.46,0.3,2.44,0.68,0.2,407,285,376,450,2
939,0,1,0,22,0.77,0.23,False,True,3,10,0,2,-5.57,6.14,0.26,2.53,1.65,1.3,395,537,594,732,5
940,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.53,-6.45,0.3,2.44,0.68,0.2,426,600,550,713,2
941,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-3.96,4.25,0.11,2.62,2.19,1.92,630,742,853,712,7
942,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.1,2.24,0.38,4.28,2.22,1.06,638,106,472,193,5
943,0,0,0,22,1,0,True,False,3,4,0,3,-6.28,6.58,0.16,4.64,1.05,0.35,921,664,1024,450,6
944,0,1,0,22,0.55,0.41,False,True,3,4,0,0,-1.35,1.27,1.28,3.47,1.64,0.51,468,652,546,711,6
945,0,1,0,22,0.45,0.55,False,True,9,10,0,0,1.16,-1.37,1.11,4.02,1.55,0.16,937,202,855,139,4
946,0,1,0,22,0.5,0.5,False,True,3,10,0,0,2.37,-2.41,0.5,2.04,2.35,1.66,1025,412,984,268,4
947,0,1,0,22,0.68,0.32,False,True,3,4,0,0,-3.43,3.86,0.25,3.33,0.86,0,820,727,987,577,7
948,0,1,0,22,0.95,0.05,False,True,3,4,0,4,-7.57,8.06,0.16,3.82,1.59,0.15,462,647,735,748,4
949,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-4.86,5.19,0.2,4.49,0.86,0.29,478,662,677,749,8
950,0,1,0,22,0.45,0.55,False,True,9,10,0,1,2.72,-2.79,0.19,3.99,0.99,0.27,1022,383,985,268,3
951,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.49,7.09,0.22,2.53,2.34,1.76,968,241,717,100,7
952,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.38,7.01,0.3,2.68,1.84,1.35,959,228,702,100,6
953,0,0,0,22,1,0,True,False,9,10,0,3,-3.17,3.23,0.12,5.57,0.96,0.34,954,222,856,140,13
954,0,1,0,22,0.64,0.36,False,True,9,10,0,0,0.41,-0.5,0.27,3.34,1.12,0.59,847,135,708,100,6
955,0,1,0,22,0.77,0.23,False,True,3,4,0,3,-4.61,4.95,0.3,3.82,1.56,1.16,409,569,572,724,8
956,0,1,0,22,0.55,0.45,False,True,3,4,0,0,1.01,-1.14,0.08,4.45,1.13,0.61,926,659,987,577,7
957,0,1,0,22,0.55,0.45,False,True,3,4,0,3,3.86,-3.89,0.11,3.89,1.01,0.38,976,597,1022,471,4
958,0,1,0,22,0.68,0.32,False,True,3,4,0,2,-1.33,1.25,0.56,4.61,1.29,0.14,842,718,949,633,6
959,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.17,6.77,0.26,2.53,1.47,1.17,382,356,453,636,5
960,0,1,0,22,0.45,0.55,False,True,9,11,0,1,5.15,-5.1,0.65,2.35,0.52,0,530,148,409,281,2
961,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.9,-6.87,0.1,2.44,0.95,0.37,1008,322,926,192,3
962,0,1,0,22,0.5,0.5,False,True,3,10,0,0,1.68,-1.72,0.07,2.04,3.4,2.66,385,506,454,637,5
963,0,1,0,22,0.86,0.14,False,True,3,4,0,2,-4.46,4.68,0.16,3.78,1.24,1.02,821,727,974,600,12
964,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.44,-6.35,0.3,2.44,0.68,0.19,930,196,783,111,2
965,0,1,0,22,0.5,0.45,False,True,9,10,0,0,3.61,-3.78,3.32,1.37,2.33,2.44,1022,379,961,232,5
966,0,1,0,22,0.95,0.05,False,True,3,4,0,0,-6.58,6.92,0.09,3.69,1.62,0.43,478,663,713,750,6
967,0,1,0,22,0.68,0.32,False,True,3,10,0,0,-2.61,2.87,0.08,3.24,0.82,0.39,387,511,520,696,4
968,0,1,0,22,0.82,0.18,False,True,3,5,0,0,-5.94,6.29,0.12,2.66,1.12,0.36,771,742,987,577,3
969,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-5.86,6.44,0.26,2.53,1.56,1.23,423,254,395,536,5
970,0,1,0,22,0.77,0.23,False,True,9,11,0,6,-5.4,5.7,0.24,4.93,0.48,0.14,539,143,381,361,3
971,0,0,0,22,1,0,True,False,3,4,0,4,-3.26,3.42,0.1,5.78,1.58,0.77,743,747,868,703,13
972,0,1,0,22,0.68,0.32,False,True,9,10,0,10,-2.73,2.8,0.1,6.46,2.22,0.89,1014,341,914,181,4
973,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-3.26,3.4,0.22,5.57,2.17,0.82,948,635,1024,455,6
974,0,1,0,22,0.73,0.27,False,True,9,10,0,5,-1.74,1.65,0.23,6.64,1.3,0.18,978,257,905,173,8
975,0,1,0,22,0.55,0.45,False,True,9,10,0,3,3.87,-3.9,0.11,3.89,1.01,0.39,443,227,384,347,5
976,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-4.39,4.7,0.2,4.49,0.88,0.42,673,749,876,698,11
977,0,1,0,22,0.77,0.23,False,True,9,11,0,6,-5.4,5.7,0.24,4.93,0.48,0.14,539,143,381,361,3
978,0,1,0,22,0.68,0.32,False,True,9,10,0,1,-1.24,1.36,0.1,4.35,1.41,0.54,921,187,747,103,5
979,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-5.98,6.3,0.24,3.54,1.24,0.19,918,666,1025,437,4
980,0,1,0,22,0.5,0.5,False,True,3,4,0,4,0.58,-0.55,0.27,4.28,1.7,1.28,986,579,1025,432,4
981,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-6.76,7.02,0.24,2.54,1.49,0.54,521,696,789,738,4
982,0,0,0,22,1,0,True,False,9,10,0,4,-5.28,5.59,0.09,4.85,0.84,0.14,421,259,379,475,8
983,0,1,0,22,0.5,0.5,False,True,3,4,0,0,1.43,-1.44,0.08,3.21,0.72,0.85,896,684,976,596,8
984,0,1,0,22,0.82,0.14,False,True,3,4,0,0,-3.28,3.39,0.11,4.2,1.6,0.23,930,654,1015,507,11
985,0,1,0,22,0.86,0.14,False,True,3,4,0,8,-5.07,5.31,0.13,5.58,1.03,0.47,521,697,738,748,3
986,0,1,0,22,0.86,0.14,False,True,9,10,0,8,-5.15,5.4,0.13,5.58,1.01,0.45,375,423,451,634,4
987,0,1,0,22,0.55,0.45,False,True,3,4,0,0,0.99,-1.13,0.26,3.04,1.54,0.99,592,732,716,750,6
988,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-1.21,0.98,0.1,5.74,1.27,0.29,490,673,575,725,6
989,0,1,0,22,0.59,0.41,False,True,9,10,0,0,2.72,-2.79,0.06,2.41,1.33,1.2,467,199,399,302,9
990,0,1,0,22,0.64,0.36,False,True,9,10,0,0,0.44,-0.52,0.28,3.34,1.12,0.59,847,135,708,100,6
991,0,0,0,22,1,0,True,False,3,4,0,3,-6.34,6.68,0.13,3.76,1.04,0.96,921,664,1024,450,8
992,0,1,0,22,0.64,0.36,False,True,3,10,0,3,-0.62,0.62,0.24,4.08,1.24,1.02,430,607,523,698,9
993,0,0,0,22,1,0,True,False,3,4,0,0,-8.06,8.46,0.3,1.93,1.38,1.11,518,694,778,740,5
994,0,1,0,22,0.64,0.36,False,True,3,4,0,0,-1.75,2.02,0.1,3.06,1.02,0.42,952,630,1025,437,6
995,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-6.89,7.44,0.26,2.61,1.28,0.88,544,710,829,723,8
996,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-5.54,6.1,0.22,2.53,1.66,1.3,376,405,479,663,5
997,0,1,0,22,0.45,0.55,False,True,9,10,0,0,5.29,-5.36,0.14,3.13,1.43,0.2,555,134,475,191,4
998,0,1,0,22,0.64,0.36,False,True,9,10,0,3,-0.79,0.92,0.32,4.01,0.62,0.21,962,233,868,147,8
999,0,1,0,22,0.45,0.55,False,True,9,11,0,1,5.01,-4.97,0.32,2.35,0.52,0,745,103,569,127,1
1000,0,0,0,22,1,0,True,False,9,10,0,0,-7.55,7.9,0.27,3.58,0.91,0.15,576,124,392,322,6
